designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966504078679419520",5966504078679419520,253.48126610758504,-41.8506923900131,,,,,20.64624,2.8005714,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078679422208",5966504078679422208,253.4816833162411,-41.85330723339935,1.9967837273358344,-5.391185007958041,-1.305264617090693,1.1315662,20.535501,2.02462,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078679427328",5966504078679427328,253.48159887024417,-41.858004903134045,,,,,20.87069,1.1393604,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078680387072",5966504078680387072,253.48338944625718,-41.84672382339263,,,,,20.791798,2.834774,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078680387712",5966504078680387712,253.4683737971026,-41.84096970738242,1.7472340213653195,-3.0742044693761645,-4.506476892352686,1.0931015,19.785877,1.1270943,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078680894720",5966504078680894720,253.47004541462397,-41.84132310545024,4.167628066477195,-7.925016395964717,-9.088395328858507,1.0404955,20.123634,2.3039284,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078685124224",5966504078685124224,253.47975380711173,-41.857934369651886,1.2530710620513614,4.450475568793734,-3.724735364162038,1.0118763,17.545279,1.9570904,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3664.8274,4.4946,-1.0832,508.471,0.4251,0.2978,0.1623
"Gaia DR3 5966504078685129728",5966504078685129728,253.48372651141065,-41.84902249967916,0.5185102064372176,-2.8848080424871028,-4.605585081307437,1.0502027,16.177649,1.7512236,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 5966504078685135232",5966504078685135232,253.47485412386044,-41.84786850976584,0.8984210119510092,2.8463688281483916,-6.499439096105975,1.0389293,14.883979,1.1787109,10.454313,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5792.3945,4.1175,-0.3282,1047.4349,0.9404,0.7677,0.4162
"Gaia DR3 5966504078685139968",5966504078685139968,253.47290266360667,-41.842176820741656,0.9237413393333384,-1.423608971925098,-1.932255064142034,1.5125972,14.616771,,-87.00297,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 5966504078685521536",5966504078685521536,253.4736059630933,-41.849691611977846,3.8120547122636776,1.2999733728874872,-3.7102321446361892,1.0082964,20.430428,1.9120445,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078685956224",5966504078685956224,253.47523518247598,-41.851951773885474,,,,,20.87293,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078686239744",5966504078686239744,253.47621968236493,-41.84224811346988,,,,,20.908743,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078688778752",5966504078688778752,253.46509925616655,-41.84724076438899,0.14646176527443494,-3.814014252340514,-4.961918759832503,1.1136492,18.948086,1.736557,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504108742327808",5966504108742327808,253.49218403433554,-41.850713939298544,0.27086198960310875,-3.3139876429938817,-2.3651870334051255,1.09273,19.06018,3.5401154,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504108742327936",5966504108742327936,253.49228441491422,-41.84761236430787,-0.5583572372426179,-0.38292535709004344,-4.108609706862942,1.1410141,20.12395,2.4832668,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
